"Edad","Total","Hombres","Mujeres","diferencia_grupo_absoluto","diferencia_grupo_absoluto_mujeres","dif_grupo_2","razon_masculinidad","razon_feminidad","grupo_sexo","edades"
"0 años",322549,165066,157483,7583,-7583,7583,104.815122902155,95.4060799922455,"hombres",0
"1 año",358635,184358,174277,10081,-10081,10081,105.784469551346,94.5318347996832,"hombres",1
"2 años",375755,192706,183049,9657,-9657,9657,105.275636578184,94.988739323114,"hombres",2
"3 años",403954,207975,195979,11996,-11996,11996,106.12106399155,94.231999038346,"hombres",3
"4 años",426796,219278,207518,11760,-11760,11760,105.666978286221,94.6369448827516,"hombres",4
"5 años",438463,225105,213358,11747,-11747,11747,105.505769645385,94.7815463894627,"hombres",5
"6 años",446016,229827,216189,13638,-13638,13638,106.308369065956,94.0659713610672,"hombres",6
"7 años",441990,226994,214996,11998,-11998,11998,105.580568940818,94.7143977373851,"hombres",7
"8 años",468286,241025,227261,13764,-13764,13764,106.056472513982,94.2893890675241,"hombres",8
"9 años",481023,247622,233401,14221,-14221,14221,106.092947330988,94.2569723207146,"hombres",9
"10 años",492427,253127,239300,13827,-13827,13827,105.778102799833,94.5375246417806,"hombres",10
"11 años",501019,258406,242613,15793,-15793,15793,106.509544006298,93.88829980728,"hombres",11
"12 años",524132,269870,254262,15608,-15608,15608,106.138549999607,94.2164745988809,"hombres",12
"13 años",505208,259774,245434,14340,-14340,14340,105.842711278796,94.4798170717624,"hombres",13
"14 años",503354,258644,244710,13934,-13934,13934,105.694086878346,94.612672244475,"hombres",14
"15 años",493766,252967,240799,12168,-12168,12168,105.053177131134,95.189886427874,"hombres",15
"16 años",490320,252458,237862,14596,-14596,14596,106.136331149995,94.2184442560743,"hombres",16
"17 años",484141,248888,235253,13635,-13635,13635,105.795887831399,94.5216322201151,"hombres",17
"18 años",472978,244855,228123,16732,-16732,16732,107.334639646156,93.1665679687979,"hombres",18
"19 años",476713,246333,230380,15953,-15953,15953,106.924646236652,93.5238072040693,"hombres",19
"20 años",483323,250219,233104,17115,-17115,17115,107.342216349784,93.1599918471419,"hombres",20
"21 años",476270,244541,231729,12812,-12812,12812,105.528872087654,94.7607967580079,"hombres",21
"22 años",466963,240376,226587,13789,-13789,13789,106.085521234669,94.2635704063634,"hombres",22
"23 años",478424,244271,234153,10118,-10118,10118,104.321106285207,95.8578791588031,"hombres",23
"24 años",477468,242842,234626,8216,-8216,8216,103.501743199816,96.616730219649,"hombres",24
"25 años",483972,246257,237715,8542,-8542,8542,103.593378625665,96.5312661162932,"hombres",25
"26 años",494211,251070,243141,7929,-7929,7929,103.261070736733,96.841916596965,"hombres",26
"27 años",513259,260396,252863,7533,-7533,7533,102.979083535353,97.1070984193306,"hombres",27
"28 años",529069,267593,261476,6117,-6117,6117,102.339411647723,97.7140657640521,"hombres",28
"29 años",528225,267573,260652,6921,-6921,6921,102.655264490585,97.4134161518539,"hombres",29
"30 años",537072,270724,266348,4376,-4376,4376,101.642963341193,98.3835936230257,"hombres",30
"31 años",546807,274834,271973,2861,-2861,2861,101.051942656072,98.9590079830006,"hombres",31
"32 años",557792,279711,278081,1630,-1630,1630,100.586160147583,99.4172556674568,"hombres",32
"33 años",565278,283061,282217,844,-844,844,100.29906065191,99.7018310540837,"hombres",33
"34 años",579365,288940,290425,-1485,1485,1485,99.4886803821985,100.51394753236,"mujeres",34
