"Periodo","edad_mayor","Total","Hombres","Mujeres","porc_total","porc_hombres","porc_mujeres"
1908,"entre65y79",965277.86,455089.15,510188.71,4.91119752123708,2.31542936810121,2.59576815313587
1908,"mas80",174178.61,68581.28,105597.33,0.886196185712289,0.34893187370864,0.537264312003649
1909,"entre65y79",961236.26,454644.85,506591.41,4.83963119502467,2.28904535781589,2.55058583720877
1909,"mas80",177096.93,69545.94,107550.99,0.891647415559521,0.35014981718575,0.541497598373771
1910,"entre65y79",978692.04,463491.54,515200.5,4.89622935309088,2.31876912277461,2.57746023031627
1910,"mas80",178463.41,69931.97,108531.44,0.892822002000438,0.349857718505068,0.54296428349537
1911,"entre65y79",972954,462791,510163,4.8590769353948,2.31124706204846,2.54782987334634
1911,"mas80",179501.7,69821.89,109679.81,0.896458178222359,0.348700899821238,0.547757278401121
1912,"entre65y79",1005131.31,475334.82,529796.49,4.97621802299031,2.35329421609487,2.62292380689545
1912,"mas80",178859.67,69182.12,109677.55,0.885500933644282,0.342507798720028,0.542993134924253
1913,"entre65y79",1002796.13,474169.46,528626.67,4.91199909763858,2.32262559653852,2.58937350110005
1913,"mas80",180989.25,69741.02,111248.23,0.886540151169393,0.34161263397416,0.544927517195234
1914,"entre65y79",1023065.13,481788.81,541276.32,4.96679137484227,2.3389952758956,2.62779609894667
1914,"mas80",182612.55,70095.75,112516.8,0.8865500462106,0.340301859875823,0.546248186334777
1915,"entre65y79",1002426.66,472272.05,530154.61,4.8266974298748,2.27399607462226,2.55270135525254
1915,"mas80",183303.51,70033.4,113270.11,0.882608789159727,0.337211733560033,0.545397055599694
1916,"entre65y79",1139778.58,525708.16,614070.42,5.4379235163993,2.50817203989481,2.92975147650449
1916,"mas80",183543.68,69617.77,113925.91,0.875693324363463,0.332148818450578,0.543544505912885
1917,"entre65y79",1115700.52,514021.91,601678.61,5.27864473338333,2.43196001025897,2.84668472312436
1917,"mas80",184864.56,69512.27,115352.29,0.874638237179656,0.32887909556681,0.545759141612846
1918,"entre65y79",1122565.8,515115.79,607450.01,5.27020430639363,2.41835752946452,2.85184677692912
1918,"mas80",183513.79,68481.28,115032.51,0.861557662224002,0.321504838970997,0.540052823253005
1919,"entre65y79",1085669.94,498770.04,586899.9,5.11041197800236,2.34778572453127,2.76262625347109
1919,"mas80",182935.18,68228.06,114707.12,0.861103453845298,0.321159757872511,0.539943695972787
1920,"entre65y79",1094095.63,501790.3,592305.33,5.1186073714634,2.3475713256517,2.7710360458117
1920,"mas80",184918.36,68923.12,115995.24,0.865120428837581,0.322449318343641,0.54267111049394
1921,"entre65y79",1073679,495760,577919,5.02491643743806,2.32020238174007,2.704714055698
1921,"mas80",189158.59,70334.06,118824.53,0.88527959303815,0.3291698675356,0.55610972550255
1922,"entre65y79",1099995.6,504156.34,595839.26,5.09684381859674,2.33601491236452,2.76082890623222
1922,"mas80",193599.48,71603.69,121995.79,0.897045690838712,0.331776622347596,0.565269068491116
1923,"entre65y79",1100270.28,503282.74,596987.54,5.04476343679417,2.30756243376999,2.73720100302418
1923,"mas80",198103.81,72910.26,125193.55,0.908310326602313,0.334295145930104,0.57401518067221
1924,"entre65y79",1119236.33,510996.75,608239.58,5.07711596456806,2.3179999502584,2.75911601430966
1924,"mas80",201697.29,73931.82,127765.47,0.91494575687077,0.335371908104137,0.579573848766633
1925,"entre65y79",1109337.39,506663.96,602673.43,4.9771753190307,2.27320865544283,2.70396666358787
1925,"mas80",206760.27,75212.98,131547.29,0.927654762272211,0.337452060212944,0.590202702059267
1926,"entre65y79",1235324.45,557452.94,677871.51,5.48583512996873,2.47553986449175,3.01029526547698
1926,"mas80",208747.11,75238.97,133508.14,0.927005232768968,0.334121602441094,0.592883630327873
1927,"entre65y79",1220635.89,551925.05,668710.84,5.35701449448716,2.42223788186381,2.93477661262335
1927,"mas80",212758.78,75811.7,136947.08,0.933736159674451,0.332715414218824,0.601020745455627
1928,"entre65y79",1235883.71,557463.74,678419.97,5.36520613170302,2.42005607149729,2.94515006020573
1928,"mas80",214427.91,75618.47,138809.44,0.930872320940507,0.328274153653179,0.602598167287327
1929,"entre65y79",1229332.84,555103.99,674228.85,5.27174412804854,2.38045068391634,2.8912934441322
1929,"mas80",221397.28,77771.12,143626.16,0.949417255302412,0.333505647820942,0.61591160748147
1930,"entre65y79",1252919.16,566356.47,686562.69,5.31383391522756,2.40200989375449,2.91182402147307
1930,"mas80",229614.64,80837.07,148777.57,0.973833029630393,0.342843160107492,0.630989869522901
1931,"entre65y79",1263631,575763,687868,5.33391514074482,2.43035425941645,2.90356088132838
1931,"mas80",238115.88,83638.13,154477.75,1.0051113794959,0.353045064540664,0.652066314955231
1932,"entre65y79",1299219.2,589479.67,709739.53,5.41274630256398,2.4558626475264,2.95688365503758
1932,"mas80",239786.37,83898.03,155888.34,0.998986766530804,0.349532051000248,0.649454715530556
1933,"entre65y79",1304767.89,591782.17,712985.72,5.35969448375085,2.43090871291377,2.92878577083709
1933,"mas80",244273.01,85285.29,158987.72,1.00341885653411,0.35033288438612,0.653085972147985
1934,"entre65y79",1330626.51,602028.88,728597.63,5.39001852951884,2.43866088201225,2.9513576475066
1934,"mas80",247838.06,86540.01,161298.05,1.00392689134083,0.350550852503868,0.653376038836966
1935,"entre65y79",1313479.06,595681.18,717797.88,5.25354674334761,2.38255714808462,2.87098959526299
1935,"mas80",251926.69,88122.64,163804.05,1.00763589014647,0.352465770095485,0.655170120050981
1936,"entre65y79",1425543.99,639468.21,786075.78,5.63157549974755,2.52620300009361,3.10537249965393
1936,"mas80",256093.46,89590.77,166502.69,1.01169074058639,0.353926072344858,0.657764668241533
1937,"entre65y79",1419669.23,636636.13,783033.1,5.54859898120223,2.4882124002325,3.06038658096973
1937,"mas80",259122.51,89941.24,169181.27,1.01274780393216,0.351524046648574,0.661223757283589
1938,"entre65y79",1443011.81,641370.9,801640.91,5.60159048527202,2.48972122478357,3.11186926048845
1938,"mas80",255760.38,87763.77,167996.61,0.992829650588622,0.340687924781157,0.652141725807465
1939,"entre65y79",1429402.33,630512.81,798889.52,5.52800809308966,2.43841768221877,3.08959041087089
1939,"mas80",247420.55,83790.63,163629.92,0.95686342052954,0.324048220045284,0.632815200484257
1940,"entre65y79",1457424.69,637786.31,819638.38,5.62637282894072,2.46216740382953,3.16420542511118
1940,"mas80",246000.71,83461.07,162539.64,0.9496831775535,0.32220059104551,0.62748258650799
1941,"entre65y79",1475609,644869,830740,5.66677267286745,2.47648667552134,3.19028599734612
1941,"mas80",249530.7,84876.14,164654.56,0.958271298021012,0.325949347510399,0.632321950510613
1942,"entre65y79",1480902.06,636126.48,844775.58,5.68159209331454,2.44054706704642,3.24104502626811
1942,"mas80",239809.17,80912.05,158897.12,0.920045910515056,0.310425163115696,0.60962074739936
1943,"entre65y79",1491091.37,640032.39,851058.98,5.69251385657554,2.44344063820325,3.24907321837229
1943,"mas80",239884.83,80963.26,158921.57,0.915804186270134,0.309092044053295,0.606712142216838
1944,"entre65y79",1526530.04,652485.26,874044.78,5.77313224487059,2.46761190091534,3.30552034395525
1944,"mas80",246431.69,83415.84,163015.85,0.9319716601823,0.315467539464186,0.616504120718114
1945,"entre65y79",1521985.76,650303.08,871682.68,5.7037401121831,2.43705286866299,3.26668724352011
1945,"mas80",252131.13,85760.75,166370.38,0.944877723239048,0.321393959576801,0.623483763662247
1946,"entre65y79",1619316.39,685540.41,933775.98,6.00675721854195,2.54297111534189,3.46378610320006
